City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,Rach Gia,VN,78.75,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
592,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
594,Tautira,PF,84.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
595,Sai Buri,TH,78.96,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
596,Quirinopolis,BR,82.04,scattered clouds,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
606,Port Keats,AU,89.49,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
609,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
615,Roxana,CR,82.47,overcast clouds,10.2753,-83.7513,3BYES1
616,Kailua,US,87.78,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
618,Veraval,IN,78.62,broken clouds,20.9,70.3667,Lords Inn Somnath
624,Ugoofaaru,MV,81.63,overcast clouds,5.6667,73.0,Ungoofaaru Inn
627,Honiara,SB,86.61,scattered clouds,-9.4333,159.95,Heritage Park Hotel
634,Suba,PH,82.69,overcast clouds,10.8438,121.0102,Jarnchi Pension House
644,Kanniyakumari,IN,79.05,overcast clouds,8.0833,77.5667,Sparsa
653,Boromo,BF,83.7,clear sky,11.75,-2.9333,Sama Camp
654,Bowen,AU,80.82,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
661,Winneba,GH,78.75,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
669,Sur,OM,75.25,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
676,Tambilil,PH,84.78,broken clouds,5.9622,124.6697,Wilfredo Sotto Home
677,Kangaba,ML,80.33,few clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
679,Machali,CL,76.28,clear sky,-34.1833,-70.6667,Mining House
681,Antsohihy,MG,76.8,light rain,-14.8796,47.9875,Hotel de Ville
682,Kimbe,PG,89.65,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
690,Bundaberg,AU,80.22,overcast clouds,-24.85,152.35,Takalvan Motel
691,Siocon,PH,82.44,few clouds,7.7061,122.1353,ABS Hotel
695,Dicabisagan,PH,82.18,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
698,Cuajinicuilapa,MX,78.21,broken clouds,16.4667,-98.4167,Pozo S. XVI
701,Papetoai,PF,83.79,overcast clouds,-17.4961,-149.8729,Fare Vaihere
